spotify_id,artist,track,file_path,genre,valence,arousal,colour
1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder,spotify_audio/17.mp3,rock,4.885284900665283,4.047898292541504,red
2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,Let Me Down Slowly,spotify_audio/18.mp3,pop,3.824204921722412,3.9330737590789795,red
7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,spotify_audio/19.mp3,pop,3.726653575897217,4.903233528137207,red
5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,spotify_audio/20.mp3,pop,4.609138011932373,3.654879331588745,red
5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,spotify_audio/21.mp3,pop,3.7929539680480957,4.239223480224609,red
2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,spotify_audio/22.mp3,pop,3.9484150409698486,4.41893196105957,red
1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,Too Good At Goodbyes,spotify_audio/23.mp3,pop,4.555399417877197,4.029894828796387,red
7BqHUALzNBTanL6OvsqmC1,Marshmello,Happier,spotify_audio/24.mp3,disco,4.509443283081055,5.094061374664307,red
2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,Shallow,spotify_audio/25.mp3,pop,4.5932440757751465,5.432473659515381,red
4cktbXiXOapiLBMprHFErI,Maroon 5,Memories,spotify_audio/26.mp3,pop,4.3177924156188965,5.117751121520996,red
50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,spotify_audio/27.mp3,pop,4.815590858459473,6.246779441833496,red
3RauEVgRgj1IuWdJ9fDs70,Taylor Swift,The Man,spotify_audio/28.mp3,pop,5.181605815887451,6.494891166687012,green
4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,spotify_audio/29.mp3,pop,4.762748718261719,4.861400604248047,red
5cF0dROlMOK5uNZtivgu50,Charlie Puth,Attention,spotify_audio/30.mp3,pop,4.974905014038086,6.751697540283203,green
6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,spotify_audio/31.mp3,pop,4.457272529602051,4.914810657501221,red
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,spotify_audio/32.mp3,pop,5.867526531219482,5.134345054626465,blue
6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,spotify_audio/33.mp3,pop,5.1985955238342285,5.489280700683594,red
7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss (with Dua Lipa),spotify_audio/34.mp3,disco,6.009559631347656,6.709028244018555,blue
2L9N0zZnd37dwF0clgxMGI,Lizzy McAlpine,ceilings,spotify_audio/35.mp3,pop,4.068461894989014,4.605338096618652,red
4l0RmWt52FxpVxMNni6i63,Tate McRae,you broke me first,spotify_audio/36.mp3,pop,4.856974124908447,4.59861421585083,red
6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,spotify_audio/37.mp3,pop,5.280858993530273,6.02708625793457,blue
3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,spotify_audio/38.mp3,pop,3.9359798431396484,4.457264423370361,red
5nujrmhLynf4yMoMtj8AQF,Dua Lipa,Levitating (feat. DaBaby),spotify_audio/39.mp3,disco,6.096048355102539,6.246458053588867,blue
5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI,STAY (with Justin Bieber),spotify_audio/40.mp3,disco,4.000443458557129,5.107803821563721,red
